"WEBSITE","YEAR","PAGE PATH","PAGE URL","PAGE VIEWS","UNIQUE VIEWS","AVERAGE TIME ON PAGE (SECONDS)","ENTRANCES","BOUNCE RATE (%)","EXIT RATE (%)"
"city.brla.gov","2025","/gis/closures.asp","http://city.brla.gov/gis/closures.asp","83,144","62,919","13.31","69,170","0.75","0.82"
"city.brla.gov","2025","/dept/council/boarddetail.asp","http://city.brla.gov/dept/council/boarddetail.asp","57,078","39,901","70.97","39,104","0.43","0.49"
"city.brla.gov","2025","/press/arounddet.asp","http://city.brla.gov/press/arounddet.asp","39,452","36,332","11.79","39,224","0.99","0.99"
"city.brla.gov","2025","/dept/purchase/nigpcode_munis_child.asp","http://city.brla.gov/dept/purchase/nigpcode_munis_child.asp","38,737","27,594","15.89","28,214","0.69","0.74"
"city.brla.gov","2025","/gis/closuredet.asp","http://city.brla.gov/gis/closuredet.asp","33,348","27,227","29.41","22,032","0.65","0.75"
"city.brla.gov","2025","/dept/hr/catdetails.asp","http://city.brla.gov/dept/hr/catdetails.asp","29,270","19,642","26.30","10,523","0.39","0.47"
"city.brla.gov","2025","/gis/propertylookupmobile.asp","http://city.brla.gov/gis/propertylookupmobile.asp","22,985","20,497","30.63","12,004","0.46","0.51"
"city.brla.gov","2025","/dept/hr/catlist.asp","http://city.brla.gov/dept/hr/catlist.asp","20,776","13,999","12.70","13,338","0.31","0.38"
"city.brla.gov","2025","/dept/council/boards.asp","http://city.brla.gov/dept/council/boards.asp","20,379","15,589","34.61","13,742","0.48","0.53"
"city.brla.gov","2025","/gis/streetrange.asp","http://city.brla.gov/gis/streetrange.asp","19,850","6,400","9.86","15,857","0.93","0.85"
"city.brla.gov","2025","/dept/mohsep/ecs-info-start.asp","http://city.brla.gov/dept/mohsep/ecs-info-start.asp","19,483","16,065","14.49","18,503","0.30","0.32"
"city.brla.gov","2025","/traffic/disclaimer.asp","http://city.brla.gov/traffic/disclaimer.asp","16,586","14,667","46.35","575","0.57","0.41"
"city.brla.gov","2025","/emergency/","http://city.brla.gov/emergency/","16,322","15,305","5.02","16,130","0.99","0.99"
"city.brla.gov","2025","/dept/mohsep/ecs-info.asp","http://city.brla.gov/dept/mohsep/ecs-info.asp","14,534","12,346","32.07","50","0.00","0.27"
"city.brla.gov","2025","/dept/mohsep/ecs-submit.asp","http://city.brla.gov/dept/mohsep/ecs-submit.asp","12,542","11,446","14.45","0","0.00","0.96"
"city.brla.gov","2025","/dept/purchase/nigpcode_munis.asp","http://city.brla.gov/dept/purchase/nigpcode_munis.asp","11,574","6,794","24.66","6,794","0.49","0.60"
"city.brla.gov","2025","/dept/council/boardapplication.asp","http://city.brla.gov/dept/council/boardapplication.asp","7,060","6,125","50.41","4,283","0.36","0.79"
"city.brla.gov","2025","/dept/council/expire.asp","http://city.brla.gov/dept/council/expire.asp","7,040","5,385","58.94","1,828","0.24","0.37"
"city.brla.gov","2025","/press/pressdet.asp","http://city.brla.gov/press/pressdet.asp","5,464","4,714","14.99","4,807","0.89","0.92"
"city.brla.gov","2025","/dept/brpd_disabled_20221114/csr/","http://city.brla.gov/dept/brpd_disabled_20221114/csr/","5,061","2,718","9.93","3,362","0.78","0.80"
"city.brla.gov","2025","/emergency/default-test.asp","http://city.brla.gov/emergency/default-test.asp","3,280","3,018","98.74","3,280","0.92","0.92"
"city.brla.gov","2025","//gis/propertylookup.asp","http://city.brla.gov//gis/propertylookup.asp","2,791","2,466","7.45","2,756","0.99","1.00"
"city.brla.gov","2025","/press/press.asp","http://city.brla.gov/press/press.asp","2,072","644","5.08","641","0.23","0.29"
"city.brla.gov","2025","/dept/brpd_disabled_20221114/csr/zone.asp","http://city.brla.gov/dept/brpd_disabled_20221114/csr/zone.asp","1,462","981","10.34","855","0.30","0.82"
"city.brla.gov","2025","/dept/brpd_disabled_20221114/csr/district.asp","http://city.brla.gov/dept/brpd_disabled_20221114/csr/district.asp","1,003","791","594.21","426","0.26","0.49"
"city.brla.gov","2025","/dept/council/boardappsubmit.asp","http://city.brla.gov/dept/council/boardappsubmit.asp","737","566","5.24","169","0.21","0.69"
"city.brla.gov","2025","/gis/closuresmobile.asp","http://city.brla.gov/gis/closuresmobile.asp","670","670","52.22","579","0.39","0.55"
"city.brla.gov","2025","/gis/censusinfo10.asp","http://city.brla.gov/gis/censusinfo10.asp","660","660","0.25","660","1.00","1.00"
"city.brla.gov","2025","/press/around.asp","http://city.brla.gov/press/around.asp","505","398","142.76","56","0.41","0.76"
"city.brla.gov","2025","/dept/hr/curlist.asp","http://city.brla.gov/dept/hr/curlist.asp","253","205","21.10","253","0.60","0.60"
"city.brla.gov","2025","/dept/hr/jobann.asp","http://city.brla.gov/dept/hr/jobann.asp","160","160","0.25","160","1.00","1.00"
"city.brla.gov","2025","/gis/censusinfo00.asp","http://city.brla.gov/gis/censusinfo00.asp","125","102","959.32","102","0.14","0.23"
"city.brla.gov","2025","/dept/hr/jobdesc.asp","http://city.brla.gov/dept/hr/jobdesc.asp","104","104","0.25","104","1.00","1.00"
"city.brla.gov","2025","/dept/mohsep/wrapper.asp","http://city.brla.gov/dept/mohsep/wrapper.asp","44","44","0.25","44","1.00","1.00"
"city.brla.gov","2025","//gis/propertydetail.asp","http://city.brla.gov//gis/propertydetail.asp","35","35","0.94","35","0.26","0.26"
"data.brla.gov","2025","/browse","http://data.brla.gov/browse","315,731","79,081","6.60","10,850","0.07","0.20"
"data.brla.gov","2025","/","http://data.brla.gov/","107,163","82,719","26.43","80,781","0.37","0.46"
"data.brla.gov","2025","/housing-and-development/adjudicated-property/a4h4-zi7e/about_data","http://data.brla.gov/housing-and-development/adjudicated-property/a4h4-zi7e/about_data","101,685","80,084","37.89","52,594","0.41","0.72"
"data.brla.gov","2025","/public-safety/baton-rouge-police-crime-incidents/pbin-pcm7/about_data","http://data.brla.gov/public-safety/baton-rouge-police-crime-incidents/pbin-pcm7/about_data","92,916","76,334","30.47","41,931","0.32","0.67"
"data.brla.gov","2025","/public-safety/ebr-sheriff-s-office-crime-incidents/7y8j-nrht/about_data","http://data.brla.gov/public-safety/ebr-sheriff-s-office-crime-incidents/7y8j-nrht/about_data","82,863","63,013","20.84","55,830","0.49","0.66"
"data.brla.gov","2025","/housing-and-development/adjudicated-property/a4h4-zi7e","http://data.brla.gov/housing-and-development/adjudicated-property/a4h4-zi7e","44,503","36,805","6.81","42,363","0.09","0.09"
"data.brla.gov","2025","/public-safety/baton-rouge-police-crime-incidents/pbin-pcm7","http://data.brla.gov/public-safety/baton-rouge-police-crime-incidents/pbin-pcm7","41,399","37,728","5.26","30,562","0.08","0.10"
"data.brla.gov","2025","/public-safety/ebr-sheriff-s-office-crime-incidents/7y8j-nrht/data_preview","http://data.brla.gov/public-safety/ebr-sheriff-s-office-crime-incidents/7y8j-nrht/data_preview","36,543","23,794","47.47","5,747","0.23","0.55"
"data.brla.gov","2025","/public-safety/city-court-warrants/3j5u-jyar/about_data","http://data.brla.gov/public-safety/city-court-warrants/3j5u-jyar/about_data","36,166","30,912","19.12","21,720","0.57","0.86"
"data.brla.gov","2025","/public-safety/baton-rouge-traffic-crash-incidents/7wah-qncc/about_data","http://data.brla.gov/public-safety/baton-rouge-traffic-crash-incidents/7wah-qncc/about_data","33,514","26,845","16.05","18,967","0.52","0.82"
"data.brla.gov","2025","/housing-and-development/ebrp-tax-roll/myfc-nh6n/about_data","http://data.brla.gov/housing-and-development/ebrp-tax-roll/myfc-nh6n/about_data","26,360","19,100","41.75","2,277","0.10","0.55"
"data.brla.gov","2025","/public-safety/baton-rouge-police-crime-incidents/pbin-pcm7/data_preview","http://data.brla.gov/public-safety/baton-rouge-police-crime-incidents/pbin-pcm7/data_preview","25,431","19,427","52.80","5,074","0.23","0.56"
"data.brla.gov","2025","/public-safety/legacy-baton-rouge-police-crime-incidents/fabb-cnnu/about_data","http://data.brla.gov/public-safety/legacy-baton-rouge-police-crime-incidents/fabb-cnnu/about_data","22,013","19,255","33.41","7,521","0.29","0.72"
"data.brla.gov","2025","/housing-and-development/property-information/re5c-hrw9/about_data","http://data.brla.gov/housing-and-development/property-information/re5c-hrw9/about_data","21,254","17,184","43.42","6,150","0.24","0.69"
"data.brla.gov","2025","/public-safety/ebr-sheriff-s-office-crime-incidents/7y8j-nrht","http://data.brla.gov/public-safety/ebr-sheriff-s-office-crime-incidents/7y8j-nrht","20,609","17,629","5.03","18,234","0.16","0.16"
"data.brla.gov","2025","/housing-and-development/ebr-building-permits/7fq7-8j7r/about_data","http://data.brla.gov/housing-and-development/ebr-building-permits/7fq7-8j7r/about_data","20,437","15,483","24.98","4,630","0.14","0.51"
"data.brla.gov","2025","/housing-and-development/adjudicated-property/a4h4-zi7e/data_preview","http://data.brla.gov/housing-and-development/adjudicated-property/a4h4-zi7e/data_preview","18,004","12,065","61.84","3,500","0.28","0.58"
"data.brla.gov","2025","/housing-and-development/subdivisions/px43-apna/about_data","http://data.brla.gov/housing-and-development/subdivisions/px43-apna/about_data","17,742","14,845","28.00","5,374","0.26","0.74"
"data.brla.gov","2025","/government/city-parish-employee-annual-salaries/g9vh-zeiw/about_data","http://data.brla.gov/government/city-parish-employee-annual-salaries/g9vh-zeiw/about_data","16,669","12,169","25.69","5,040","0.15","0.43"
"data.brla.gov","2025","/public-safety/city-court-warrants/3j5u-jyar","http://data.brla.gov/public-safety/city-court-warrants/3j5u-jyar","14,174","13,018","7.26","13,478","0.13","0.13"
"data.brla.gov","2025","/housing-and-development/ebr-building-permits/7fq7-8j7r","http://data.brla.gov/housing-and-development/ebr-building-permits/7fq7-8j7r","13,962","11,037","5.04","11,289","0.07","0.09"
"data.brla.gov","2025","/public-safety/baton-rouge-traffic-crash-incidents/7wah-qncc","http://data.brla.gov/public-safety/baton-rouge-traffic-crash-incidents/7wah-qncc","12,657","11,200","5.46","10,835","0.15","0.16"
"data.brla.gov","2025","/login","http://data.brla.gov/login","12,613","9,030","17.75","4,447","0.10","0.26"
"data.brla.gov","2025","/public-safety/east-baton-rouge-parish-combined-crime-incidents/6zc2-imdr/about_data","http://data.brla.gov/public-safety/east-baton-rouge-parish-combined-crime-incidents/6zc2-imdr/about_data","12,502","9,124","39.32","2,990","0.18","0.46"
"data.brla.gov","2025","/business-and-financial/businesses-registered-with-ebr-parish/xw6s-bcqm/data_preview","http://data.brla.gov/business-and-financial/businesses-registered-with-ebr-parish/xw6s-bcqm/data_preview","12,479","9,515","67.79","6,842","0.49","0.63"
"data.brla.gov","2025","/housing-and-development/property-information/re5c-hrw9/data","http://data.brla.gov/housing-and-development/property-information/re5c-hrw9/data","11,810","10,708","6.03","11,222","0.09","0.09"
"data.brla.gov","2025","/government/city-parish-employee-annual-salaries-by-department/74ye-xdtn","http://data.brla.gov/government/city-parish-employee-annual-salaries-by-department/74ye-xdtn","11,810","9,753","56.25","6,500","0.52","0.78"
"data.brla.gov","2025","/public-safety/baton-rouge-fire-incidents/dakq-4sda/about_data","http://data.brla.gov/public-safety/baton-rouge-fire-incidents/dakq-4sda/about_data","11,721","9,666","30.33","5,543","0.42","0.79"
"data.brla.gov","2025","/public-safety/legacy-baton-rouge-police-crime-incidents/fabb-cnnu","http://data.brla.gov/public-safety/legacy-baton-rouge-police-crime-incidents/fabb-cnnu","10,525","9,421","5.27","7,471","0.07","0.11"
"data.brla.gov","2025","/housing-and-development/subdivisions/px43-apna/data","http://data.brla.gov/housing-and-development/subdivisions/px43-apna/data","10,518","9,699","6.53","9,353","0.08","0.09"
"data.brla.gov","2025","/government/active-city-parish-employees/k9k4-embr/about_data","http://data.brla.gov/government/active-city-parish-employees/k9k4-embr/about_data","10,460","7,686","6.60","297","0.01","0.37"
"data.brla.gov","2025","/government/retail-food-inspections/ux2t-b9wr/about_data","http://data.brla.gov/government/retail-food-inspections/ux2t-b9wr/about_data","10,455","8,899","10.62","5,526","0.40","0.81"
"data.brla.gov","2025","/housing-and-development/ebrp-tax-roll/myfc-nh6n/data","http://data.brla.gov/housing-and-development/ebrp-tax-roll/myfc-nh6n/data","10,452","8,180","3.83","496","0.01","0.08"
"data.brla.gov","2025","/business-and-financial/businesses-registered-with-ebr-parish/xw6s-bcqm/about_data","http://data.brla.gov/business-and-financial/businesses-registered-with-ebr-parish/xw6s-bcqm/about_data","10,195","8,461","9.38","2,700","0.20","0.72"
"data.brla.gov","2025","/transportation-and-infrastructure/street-names/whw6-pbh2/about_data","http://data.brla.gov/transportation-and-infrastructure/street-names/whw6-pbh2/about_data","9,842","8,483","14.27","2,094","0.18","0.78"
"data.brla.gov","2025","/government/purchase-orders-and-contracts/2ung-w7t4/about_data","http://data.brla.gov/government/purchase-orders-and-contracts/2ung-w7t4/about_data","9,656","6,039","48.94","2,828","0.21","0.57"
"data.brla.gov","2025","/government/city-parish-employee-annual-salaries/g9vh-zeiw","http://data.brla.gov/government/city-parish-employee-annual-salaries/g9vh-zeiw","8,965","7,523","25.08","6,173","0.11","0.11"
"data.brla.gov","2025","/public-safety/baton-rouge-traffic-crash-incidents/7wah-qncc/data_preview","http://data.brla.gov/public-safety/baton-rouge-traffic-crash-incidents/7wah-qncc/data_preview","8,333","6,481","43.32","719","0.28","0.47"
"data.brla.gov","2025","/housing-and-development/ebrp-tax-roll/myfc-nh6n/data_preview","http://data.brla.gov/housing-and-development/ebrp-tax-roll/myfc-nh6n/data_preview","7,636","5,293","74.01","599","0.13","0.44"
"data.brla.gov","2025","/government/city-parish-employees/bj3z-jksg/about_data","http://data.brla.gov/government/city-parish-employees/bj3z-jksg/about_data","7,561","5,529","8.55","1,239","0.07","0.24"
"data.brla.gov","2025","/public-safety/east-baton-rouge-parish-combined-crime-incidents/6zc2-imdr/data_preview","http://data.brla.gov/public-safety/east-baton-rouge-parish-combined-crime-incidents/6zc2-imdr/data_preview","7,202","5,382","43.53","1,873","0.28","0.54"
"data.brla.gov","2025","/government/active-city-parish-employees/k9k4-embr/data_preview","http://data.brla.gov/government/active-city-parish-employees/k9k4-embr/data_preview","6,787","5,808","27.51","1,265","0.19","0.54"
"data.brla.gov","2025","/government/active-city-parish-employees/k9k4-embr","http://data.brla.gov/government/active-city-parish-employees/k9k4-embr","6,725","5,466","3.85","427","0.00","0.08"
"data.brla.gov","2025","/public-safety/ebr-sheriff-s-office-crime-incidents/7y8j-nrht/related_content","http://data.brla.gov/public-safety/ebr-sheriff-s-office-crime-incidents/7y8j-nrht/related_content","6,649","5,132","2.48","43","0.12","0.40"
"data.brla.gov","2025","/transportation-and-infrastructure/street-names/whw6-pbh2/data","http://data.brla.gov/transportation-and-infrastructure/street-names/whw6-pbh2/data","6,370","5,678","5.37","6,114","0.08","0.09"
"data.brla.gov","2025","/public-safety/crime-type-comparison-chart/3w6m-huxf","http://data.brla.gov/public-safety/crime-type-comparison-chart/3w6m-huxf","6,367","4,992","61.52","1,376","0.14","0.68"
"data.brla.gov","2025","/government/city-parish-employee-annual-salaries/g9vh-zeiw/data_preview","http://data.brla.gov/government/city-parish-employee-annual-salaries/g9vh-zeiw/data_preview","6,007","4,830","65.05","1,453","0.27","0.64"
"data.brla.gov","2025","/public-safety/east-baton-rouge-parish-combined-crime-incidents/6zc2-imdr","http://data.brla.gov/public-safety/east-baton-rouge-parish-combined-crime-incidents/6zc2-imdr","5,938","5,054","5.24","1,936","0.08","0.11"
"data.brla.gov","2025","/public-safety/baton-rouge-fire-incidents/dakq-4sda","http://data.brla.gov/public-safety/baton-rouge-fire-incidents/dakq-4sda","5,702","4,759","9.39","4,181","0.10","0.12"
"data.brla.gov","2025","/government/baton-rouge-city-limit/nyqb-2p5j/about_data","http://data.brla.gov/government/baton-rouge-city-limit/nyqb-2p5j/about_data","5,648","4,812","10.34","1,469","0.20","0.56"
"data.brla.gov","2025","/housing-and-development/ebr-building-permits/7fq7-8j7r/data_preview","http://data.brla.gov/housing-and-development/ebr-building-permits/7fq7-8j7r/data_preview","5,617","4,583","64.28","156","0.06","0.37"
"data.brla.gov","2025","/transportation-and-infrastructure/traffic-camera/6z6u-ts44/about_data","http://data.brla.gov/transportation-and-infrastructure/traffic-camera/6z6u-ts44/about_data","5,580","5,354","7.14","3,410","0.52","0.81"
"data.brla.gov","2025","/government/purchase-orders-and-contracts/2ung-w7t4/data_preview","http://data.brla.gov/government/purchase-orders-and-contracts/2ung-w7t4/data_preview","5,161","3,488","31.29","1,928","0.34","0.65"
"data.brla.gov","2025","/housing-and-development/adjudicated-property-subdivisions/2qi4-2rpj","http://data.brla.gov/housing-and-development/adjudicated-property-subdivisions/2qi4-2rpj","5,067","3,963","46.72","1,630","0.35","0.67"
"data.brla.gov","2025","/public-safety/city-court-warrants/3j5u-jyar/data_preview","http://data.brla.gov/public-safety/city-court-warrants/3j5u-jyar/data_preview","4,978","2,869","40.19","185","0.26","0.47"
"data.brla.gov","2025","/government/city-parish-employees/bj3z-jksg/data_preview","http://data.brla.gov/government/city-parish-employees/bj3z-jksg/data_preview","4,929","3,913","39.39","1,762","0.31","0.60"
"data.brla.gov","2025","/stories/s/e68t-9e5i","http://data.brla.gov/stories/s/e68t-9e5i","4,921","4,362","16.29","112","0.09","0.33"
"data.brla.gov","2025","/government/311-citizen-requests-for-service/7ixm-mnvx/about_data","http://data.brla.gov/government/311-citizen-requests-for-service/7ixm-mnvx/about_data","4,776","3,671","49.37","1,098","0.08","0.52"
"data.brla.gov","2025","/government/purchase-orders-and-contracts/2ung-w7t4","http://data.brla.gov/government/purchase-orders-and-contracts/2ung-w7t4","4,766","3,080","3.83","2,471","0.07","0.08"
"data.brla.gov","2025","/government/utility-coverage-area/3dv4-vdqq/about_data","http://data.brla.gov/government/utility-coverage-area/3dv4-vdqq/about_data","4,628","4,131","15.04","1,596","0.23","0.62"
"data.brla.gov","2025","/d/7fq7-8j7r/visualization","http://data.brla.gov/d/7fq7-8j7r/visualization","4,623","4,130","23.86","4,497","0.97","0.98"
"data.brla.gov","2025","/government/legacy-city-parish-employee-annual-salaries/g5c2-myyj/about_data","http://data.brla.gov/government/legacy-city-parish-employee-annual-salaries/g5c2-myyj/about_data","4,571","3,318","19.40","402","0.08","0.28"
"data.brla.gov","2025","/housing-and-development/ebr-building-permits-by-type/vz3x-ak5h","http://data.brla.gov/housing-and-development/ebr-building-permits-by-type/vz3x-ak5h","4,450","3,893","44.24","1,670","0.34","0.83"
"data.brla.gov","2025","/public-safety/animal-control-incidents/qmns-hw3s/about_data","http://data.brla.gov/public-safety/animal-control-incidents/qmns-hw3s/about_data","4,432","3,129","57.37","1,993","0.27","0.61"
"data.brla.gov","2025","/housing-and-development/street-address-listing/6fyg-p3r9/about_data","http://data.brla.gov/housing-and-development/street-address-listing/6fyg-p3r9/about_data","4,404","3,927","14.99","2,290","0.49","0.86"
"data.brla.gov","2025","/housing-and-development/property-information/re5c-hrw9/data_preview","http://data.brla.gov/housing-and-development/property-information/re5c-hrw9/data_preview","4,385","3,448","45.02","380","0.23","0.39"
"data.brla.gov","2025","/government/retail-food-inspections/ux2t-b9wr","http://data.brla.gov/government/retail-food-inspections/ux2t-b9wr","4,297","3,943","5.59","3,941","0.09","0.09"
"data.brla.gov","2025","/government/baton-rouge-city-limit/2mu2-qd95","http://data.brla.gov/government/baton-rouge-city-limit/2mu2-qd95","4,062","3,472","42.89","1,493","0.35","0.86"
"data.brla.gov","2025","/government/city-parish-employees/bj3z-jksg","http://data.brla.gov/government/city-parish-employees/bj3z-jksg","4,054","3,372","3.93","1,177","0.05","0.10"
"data.brla.gov","2025","/government/baton-rouge-city-limit/nyqb-2p5j","http://data.brla.gov/government/baton-rouge-city-limit/nyqb-2p5j","4,013","3,452","4.88","3,743","0.09","0.09"
"data.brla.gov","2025","/housing-and-development/adjudicated-property/a4h4-zi7e/related_content","http://data.brla.gov/housing-and-development/adjudicated-property/a4h4-zi7e/related_content","3,515","2,833","19.08","185","0.14","0.27"
"data.brla.gov","2025","/housing-and-development/new-residential-building-permits-by-month/cv26-6i33","http://data.brla.gov/housing-and-development/new-residential-building-permits-by-month/cv26-6i33","3,496","2,650","39.60","204","0.06","0.34"
"data.brla.gov","2025","/business-and-financial/businesses-registered-with-ebr-parish/xw6s-bcqm","http://data.brla.gov/business-and-financial/businesses-registered-with-ebr-parish/xw6s-bcqm","3,363","3,106","5.19","1,917","0.06","0.08"
"data.brla.gov","2025","/government/open-checkbook-br/7qhq-wwsg/about_data","http://data.brla.gov/government/open-checkbook-br/7qhq-wwsg/about_data","3,360","2,814","29.13","879","0.19","0.60"
"data.brla.gov","2025","/w/7y8j-nrht/default","http://data.brla.gov/w/7y8j-nrht/default","3,199","1,563","55.17","3,109","0.63","0.64"
"data.brla.gov","2025","/government/311-citizen-requests-for-service/7ixm-mnvx","http://data.brla.gov/government/311-citizen-requests-for-service/7ixm-mnvx","3,108","2,818","5.24","2,494","0.06","0.08"
"data.brla.gov","2025","/housing-and-development/ebr-bp/e65m-r9um/explore","http://data.brla.gov/housing-and-development/ebr-bp/e65m-r9um/explore","3,102","3,046","23.06","0","0.00","0.09"
"data.brla.gov","2025","/business-and-financial/businesses-registered-with-ebr-parish/xw6s-bcqm/data","http://data.brla.gov/business-and-financial/businesses-registered-with-ebr-parish/xw6s-bcqm/data","3,094","2,612","5.22","3,094","0.08","0.08"
"data.brla.gov","2025","/government/retail-food-inspections/ux2t-b9wr/data_preview","http://data.brla.gov/government/retail-food-inspections/ux2t-b9wr/data_preview","3,046","2,035","36.21","163","0.09","0.57"
"data.brla.gov","2025","/government/utility-coverage-area/3dv4-vdqq","http://data.brla.gov/government/utility-coverage-area/3dv4-vdqq","2,916","2,649","5.60","2,860","0.08","0.08"
"data.brla.gov","2025","/videos","http://data.brla.gov/videos","2,883","2,528","69.85","212","0.22","0.33"
"data.brla.gov","2025","/housing-and-development/subdivisions/px43-apna/data_preview","http://data.brla.gov/housing-and-development/subdivisions/px43-apna/data_preview","2,818","2,324","23.18","167","0.16","0.45"
"data.brla.gov","2025","/public-safety/baton-rouge-police-crime-incidents/pbin-pcm7/related_content","http://data.brla.gov/public-safety/baton-rouge-police-crime-incidents/pbin-pcm7/related_content","2,778","2,430","7.30","110","0.15","0.26"
"data.brla.gov","2025","/government/legacy-city-parish-employee-annual-salaries/g5c2-myyj","http://data.brla.gov/government/legacy-city-parish-employee-annual-salaries/g5c2-myyj","2,733","2,100","3.85","621","0.08","0.08"
"data.brla.gov","2025","/public-safety/ebr-sheriff-s-office-crime-incidents/7y8j-nrht/explore","http://data.brla.gov/public-safety/ebr-sheriff-s-office-crime-incidents/7y8j-nrht/explore","2,620","2,154","4.99","129","0.07","0.11"
"data.brla.gov","2025","/widgets/7y8j-nrht","http://data.brla.gov/widgets/7y8j-nrht","2,537","1,955","61.94","1,535","0.54","0.83"
"data.brla.gov","2025","/public-safety/legacy-baton-rouge-police-crime-incidents/fabb-cnnu/data_preview","http://data.brla.gov/public-safety/legacy-baton-rouge-police-crime-incidents/fabb-cnnu/data_preview","2,531","1,825","52.48","57","0.06","0.31"
"data.brla.gov","2025","/housing-and-development/adjudicated-property-map/c7mi-6t2x","http://data.brla.gov/housing-and-development/adjudicated-property-map/c7mi-6t2x","2,528","1,975","147.25","1,163","0.39","0.54"
"data.brla.gov","2025","/admin/assets","http://data.brla.gov/admin/assets","2,485","1,108","25.00","56","0.03","0.08"
"data.brla.gov","2025","/government/legacy-purchase-orders/54bn-2sqf/about_data","http://data.brla.gov/government/legacy-purchase-orders/54bn-2sqf/about_data","2,474","2,030","39.96","309","0.07","0.36"
"data.brla.gov","2025","/government/school-location/46yn-5ctj/about_data","http://data.brla.gov/government/school-location/46yn-5ctj/about_data","2,431","2,318","60.46","933","0.38","0.94"
"data.brla.gov","2025","/housing-and-development/ebr-building-permits/7fq7-8j7r/explore","http://data.brla.gov/housing-and-development/ebr-building-permits/7fq7-8j7r/explore","2,430","1,917","4.74","272","0.06","0.16"
"data.brla.gov","2025","/government/active-city-parish-employees/k9k4-embr/explore","http://data.brla.gov/government/active-city-parish-employees/k9k4-embr/explore","2,422","2,131","4.53","0","0.00","0.08"
"data.brla.gov","2025","/government/open-checkbook-br/7qhq-wwsg","http://data.brla.gov/government/open-checkbook-br/7qhq-wwsg","2,313","2,133","5.35","1,643","0.08","0.10"
"data.brla.gov","2025","/transportation-and-infrastructure/traffic-camera/6z6u-ts44","http://data.brla.gov/transportation-and-infrastructure/traffic-camera/6z6u-ts44","2,252","2,252","6.08","2,252","0.10","0.10"
"data.brla.gov","2025","/housing-and-development/ebrp-tax-roll/myfc-nh6n","http://data.brla.gov/housing-and-development/ebrp-tax-roll/myfc-nh6n","2,203","1,939","5.20","1,377","0.04","0.09"
"data.brla.gov","2025","/government/legacy-purchase-orders/54bn-2sqf","http://data.brla.gov/government/legacy-purchase-orders/54bn-2sqf","2,152","2,096","5.10","1,461","0.17","0.21"
"data.brla.gov","2025","/public-safety/baton-rouge-fire-incidents-map/nmuf-e7x4","http://data.brla.gov/public-safety/baton-rouge-fire-incidents-map/nmuf-e7x4","2,108","1,947","67.32","1,162","0.41","0.80"
"data.brla.gov","2025","/housing-and-development/street-address-listing/6fyg-p3r9","http://data.brla.gov/housing-and-development/street-address-listing/6fyg-p3r9","2,043","1,851","5.54","1,714","0.06","0.11"
